date,temperature_2m,weather_code
2024-01-01 00:00:00-03:00,23.56,3.0
2024-01-01 01:00:00-03:00,23.31,3.0
2024-01-01 02:00:00-03:00,23.11,3.0
2024-01-01 03:00:00-03:00,22.91,3.0
2024-01-01 04:00:00-03:00,22.11,3.0
2024-01-01 05:00:00-03:00,21.96,2.0
2024-01-01 06:00:00-03:00,23.01,3.0
2024-01-01 07:00:00-03:00,24.11,3.0
2024-01-01 08:00:00-03:00,25.21,3.0
2024-01-01 09:00:00-03:00,25.61,3.0
2024-01-01 10:00:00-03:00,27.36,3.0
2024-01-01 11:00:00-03:00,26.86,3.0
2024-01-01 12:00:00-03:00,26.81,3.0
2024-01-01 13:00:00-03:00,26.96,3.0
2024-01-01 14:00:00-03:00,27.36,3.0
2024-01-01 15:00:00-03:00,27.01,51.0
2024-01-01 16:00:00-03:00,26.86,51.0
2024-01-01 17:00:00-03:00,26.46,3.0
2024-01-01 18:00:00-03:00,26.11,3.0
2024-01-01 19:00:00-03:00,25.21,3.0
2024-01-01 20:00:00-03:00,24.81,3.0
2024-01-01 21:00:00-03:00,24.41,0.0
2024-01-01 22:00:00-03:00,23.96,0.0
2024-01-01 23:00:00-03:00,23.16,1.0
2024-01-02 00:00:00-03:00,23.31,3.0
2024-01-02 01:00:00-03:00,23.66,3.0
2024-01-02 02:00:00-03:00,23.66,3.0
2024-01-02 03:00:00-03:00,23.56,3.0
2024-01-02 04:00:00-03:00,23.46,3.0
2024-01-02 05:00:00-03:00,23.46,3.0
2024-01-02 06:00:00-03:00,23.51,3.0
2024-01-02 07:00:00-03:00,23.81,3.0
2024-01-02 08:00:00-03:00,24.81,3.0
2024-01-02 09:00:00-03:00,26.81,2.0
2024-01-02 10:00:00-03:00,27.26,3.0
2024-01-02 11:00:00-03:00,28.01,3.0
2024-01-02 12:00:00-03:00,29.31,3.0
2024-01-02 13:00:00-03:00,29.11,3.0
2024-01-02 14:00:00-03:00,29.31,3.0
2024-01-02 15:00:00-03:00,29.76,1.0
2024-01-02 16:00:00-03:00,29.16,2.0
2024-01-02 17:00:00-03:00,28.36,51.0
2024-01-02 18:00:00-03:00,26.96,2.0
2024-01-02 19:00:00-03:00,25.86,2.0
2024-01-02 20:00:00-03:00,25.46,2.0
2024-01-02 21:00:00-03:00,25.16,51.0
2024-01-02 22:00:00-03:00,25.06,51.0
2024-01-02 23:00:00-03:00,24.91,51.0
2024-01-03 00:00:00-03:00,24.61,53.0
2024-01-03 01:00:00-03:00,24.11,51.0
2024-01-03 02:00:00-03:00,23.66,51.0
2024-01-03 03:00:00-03:00,23.71,51.0
2024-01-03 04:00:00-03:00,23.16,3.0
2024-01-03 05:00:00-03:00,23.36,3.0
2024-01-03 06:00:00-03:00,23.66,3.0
2024-01-03 07:00:00-03:00,24.01,51.0
2024-01-03 08:00:00-03:00,24.66,51.0
2024-01-03 09:00:00-03:00,26.56,51.0
2024-01-03 10:00:00-03:00,26.91,53.0
2024-01-03 11:00:00-03:00,27.11,51.0
2024-01-03 12:00:00-03:00,28.66,51.0
2024-01-03 13:00:00-03:00,29.31,51.0
2024-01-03 14:00:00-03:00,28.91,51.0
2024-01-03 15:00:00-03:00,27.76,53.0
2024-01-03 16:00:00-03:00,28.21,51.0
2024-01-03 17:00:00-03:00,28.21,3.0
2024-01-03 18:00:00-03:00,27.76,3.0
2024-01-03 19:00:00-03:00,27.21,3.0
2024-01-03 20:00:00-03:00,25.81,63.0
2024-01-03 21:00:00-03:00,24.81,51.0
2024-01-03 22:00:00-03:00,24.76,63.0
2024-01-03 23:00:00-03:00,24.66,53.0
2024-01-04 00:00:00-03:00,24.46,55.0
2024-01-04 01:00:00-03:00,24.26,53.0
2024-01-04 02:00:00-03:00,24.16,51.0
2024-01-04 03:00:00-03:00,24.06,51.0
2024-01-04 04:00:00-03:00,24.01,53.0
2024-01-04 05:00:00-03:00,24.01,61.0
2024-01-04 06:00:00-03:00,24.06,51.0
2024-01-04 07:00:00-03:00,24.31,53.0
2024-01-04 08:00:00-03:00,24.61,55.0
2024-01-04 09:00:00-03:00,25.01,61.0
2024-01-04 10:00:00-03:00,25.26,51.0
2024-01-04 11:00:00-03:00,27.31,3.0
2024-01-04 12:00:00-03:00,28.96,51.0
2024-01-04 13:00:00-03:00,29.26,51.0
2024-01-04 14:00:00-03:00,26.61,63.0
2024-01-04 15:00:00-03:00,26.86,51.0
2024-01-04 16:00:00-03:00,26.51,51.0
2024-01-04 17:00:00-03:00,25.96,51.0
2024-01-04 18:00:00-03:00,25.31,51.0
2024-01-04 19:00:00-03:00,24.56,51.0
2024-01-04 20:00:00-03:00,24.56,51.0
2024-01-04 21:00:00-03:00,24.56,51.0
2024-01-04 22:00:00-03:00,24.16,53.0
2024-01-04 23:00:00-03:00,23.71,51.0
2024-01-05 00:00:00-03:00,23.31,3.0
2024-01-05 01:00:00-03:00,23.16,3.0
2024-01-05 02:00:00-03:00,23.21,3.0
2024-01-05 03:00:00-03:00,23.41,3.0
2024-01-05 04:00:00-03:00,23.56,3.0
2024-01-05 05:00:00-03:00,23.66,51.0
2024-01-05 06:00:00-03:00,23.66,51.0
2024-01-05 07:00:00-03:00,24.01,53.0
2024-01-05 08:00:00-03:00,25.36,51.0
2024-01-05 09:00:00-03:00,26.11,61.0
2024-01-05 10:00:00-03:00,26.46,51.0
2024-01-05 11:00:00-03:00,27.31,51.0
2024-01-05 12:00:00-03:00,27.86,51.0
2024-01-05 13:00:00-03:00,28.01,53.0
2024-01-05 14:00:00-03:00,27.66,51.0
2024-01-05 15:00:00-03:00,27.31,51.0
2024-01-05 16:00:00-03:00,27.01,51.0
2024-01-05 17:00:00-03:00,26.46,2.0
2024-01-05 18:00:00-03:00,25.36,1.0
2024-01-05 19:00:00-03:00,24.51,1.0
2024-01-05 20:00:00-03:00,24.06,1.0
2024-01-05 21:00:00-03:00,23.81,1.0
2024-01-05 22:00:00-03:00,23.96,3.0
2024-01-05 23:00:00-03:00,23.61,51.0
2024-01-06 00:00:00-03:00,23.46,51.0
2024-01-06 01:00:00-03:00,23.61,3.0
2024-01-06 02:00:00-03:00,23.36,51.0
2024-01-06 03:00:00-03:00,23.31,3.0
2024-01-06 04:00:00-03:00,23.41,51.0
2024-01-06 05:00:00-03:00,23.21,3.0
2024-01-06 06:00:00-03:00,23.51,3.0
2024-01-06 07:00:00-03:00,24.26,51.0
2024-01-06 08:00:00-03:00,25.66,51.0
2024-01-06 09:00:00-03:00,26.76,51.0
2024-01-06 10:00:00-03:00,27.21,51.0
2024-01-06 11:00:00-03:00,27.46,2.0
2024-01-06 12:00:00-03:00,28.21,51.0
2024-01-06 13:00:00-03:00,28.81,0.0
2024-01-06 14:00:00-03:00,28.46,0.0
2024-01-06 15:00:00-03:00,27.81,0.0
2024-01-06 16:00:00-03:00,27.36,1.0
2024-01-06 17:00:00-03:00,26.71,0.0
2024-01-06 18:00:00-03:00,26.06,1.0
2024-01-06 19:00:00-03:00,25.11,0.0
2024-01-06 20:00:00-03:00,24.61,0.0
2024-01-06 21:00:00-03:00,24.11,0.0
2024-01-06 22:00:00-03:00,23.91,0.0
2024-01-06 23:00:00-03:00,23.61,0.0
2024-01-07 00:00:00-03:00,23.06,0.0
2024-01-07 01:00:00-03:00,23.01,0.0
2024-01-07 02:00:00-03:00,22.21,1.0
2024-01-07 03:00:00-03:00,22.11,1.0
2024-01-07 04:00:00-03:00,21.71,2.0
2024-01-07 05:00:00-03:00,21.46,2.0
2024-01-07 06:00:00-03:00,21.91,3.0
2024-01-07 07:00:00-03:00,23.96,2.0
2024-01-07 08:00:00-03:00,25.86,51.0
2024-01-07 09:00:00-03:00,27.16,51.0
2024-01-07 10:00:00-03:00,28.56,51.0
2024-01-07 11:00:00-03:00,30.01,1.0
2024-01-07 12:00:00-03:00,30.41,0.0
2024-01-07 13:00:00-03:00,30.66,0.0
2024-01-07 14:00:00-03:00,30.16,0.0
2024-01-07 15:00:00-03:00,29.46,1.0
2024-01-07 16:00:00-03:00,28.46,0.0
2024-01-07 17:00:00-03:00,27.81,0.0
2024-01-07 18:00:00-03:00,26.76,1.0
2024-01-07 19:00:00-03:00,25.71,1.0
2024-01-07 20:00:00-03:00,25.21,0.0
2024-01-07 21:00:00-03:00,25.06,0.0
2024-01-07 22:00:00-03:00,25.06,3.0
2024-01-07 23:00:00-03:00,24.81,3.0
2024-01-08 00:00:00-03:00,24.36,3.0
2024-01-08 01:00:00-03:00,24.51,3.0
2024-01-08 02:00:00-03:00,23.96,3.0
2024-01-08 03:00:00-03:00,23.46,2.0
2024-01-08 04:00:00-03:00,23.01,3.0
2024-01-08 05:00:00-03:00,23.21,3.0
2024-01-08 06:00:00-03:00,23.96,3.0
2024-01-08 07:00:00-03:00,25.26,3.0
2024-01-08 08:00:00-03:00,27.16,3.0
2024-01-08 09:00:00-03:00,29.31,2.0
2024-01-08 10:00:00-03:00,31.61,3.0
2024-01-08 11:00:00-03:00,33.21,3.0
2024-01-08 12:00:00-03:00,34.76,1.0
2024-01-08 13:00:00-03:00,35.96,0.0
2024-01-08 14:00:00-03:00,36.11,1.0
2024-01-08 15:00:00-03:00,35.11,1.0
2024-01-08 16:00:00-03:00,33.41,3.0
2024-01-08 17:00:00-03:00,31.51,3.0
2024-01-08 18:00:00-03:00,31.01,1.0
2024-01-08 19:00:00-03:00,30.11,3.0
2024-01-08 20:00:00-03:00,29.61,1.0
2024-01-08 21:00:00-03:00,28.96,3.0
2024-01-08 22:00:00-03:00,28.81,3.0
2024-01-08 23:00:00-03:00,28.16,3.0
2024-01-09 00:00:00-03:00,27.46,3.0
2024-01-09 01:00:00-03:00,26.91,3.0
2024-01-09 02:00:00-03:00,26.51,1.0
2024-01-09 03:00:00-03:00,26.06,2.0
2024-01-09 04:00:00-03:00,25.66,3.0
2024-01-09 05:00:00-03:00,25.31,3.0
2024-01-09 06:00:00-03:00,26.36,3.0
2024-01-09 07:00:00-03:00,28.91,3.0
2024-01-09 08:00:00-03:00,30.51,3.0
2024-01-09 09:00:00-03:00,32.16,3.0
2024-01-09 10:00:00-03:00,35.36,3.0
2024-01-09 11:00:00-03:00,34.56,3.0
2024-01-09 12:00:00-03:00,33.56,3.0
2024-01-09 13:00:00-03:00,33.81,3.0
2024-01-09 14:00:00-03:00,34.51,3.0
2024-01-09 15:00:00-03:00,34.31,3.0
2024-01-09 16:00:00-03:00,33.61,3.0
2024-01-09 17:00:00-03:00,32.46,3.0
2024-01-09 18:00:00-03:00,30.46,3.0
2024-01-09 19:00:00-03:00,28.86,0.0
2024-01-09 20:00:00-03:00,28.01,0.0
2024-01-09 21:00:00-03:00,27.51,0.0
2024-01-09 22:00:00-03:00,27.46,0.0
2024-01-09 23:00:00-03:00,26.81,0.0
2024-01-10 00:00:00-03:00,26.26,0.0
2024-01-10 01:00:00-03:00,25.81,0.0
2024-01-10 02:00:00-03:00,25.51,0.0
2024-01-10 03:00:00-03:00,25.11,0.0
2024-01-10 04:00:00-03:00,24.91,0.0
2024-01-10 05:00:00-03:00,24.71,0.0
2024-01-10 06:00:00-03:00,25.56,0.0
2024-01-10 07:00:00-03:00,28.01,0.0
2024-01-10 08:00:00-03:00,30.36,0.0
2024-01-10 09:00:00-03:00,32.86,0.0
2024-01-10 10:00:00-03:00,34.41,1.0
2024-01-10 11:00:00-03:00,34.66,1.0
2024-01-10 12:00:00-03:00,34.66,51.0
2024-01-10 13:00:00-03:00,35.31,0.0
2024-01-10 14:00:00-03:00,35.56,0.0
2024-01-10 15:00:00-03:00,34.46,51.0
2024-01-10 16:00:00-03:00,34.31,0.0
2024-01-10 17:00:00-03:00,33.66,0.0
2024-01-10 18:00:00-03:00,32.01,0.0
2024-01-10 19:00:00-03:00,31.21,0.0
2024-01-10 20:00:00-03:00,30.66,1.0
2024-01-10 21:00:00-03:00,30.26,1.0
2024-01-10 22:00:00-03:00,27.16,3.0
2024-01-10 23:00:00-03:00,27.26,51.0
2024-01-11 00:00:00-03:00,27.16,51.0
2024-01-11 01:00:00-03:00,26.76,51.0
2024-01-11 02:00:00-03:00,26.46,3.0
2024-01-11 03:00:00-03:00,26.11,3.0
2024-01-11 04:00:00-03:00,25.71,3.0
2024-01-11 05:00:00-03:00,25.36,3.0
2024-01-11 06:00:00-03:00,25.76,3.0
2024-01-11 07:00:00-03:00,27.56,2.0
2024-01-11 08:00:00-03:00,29.81,0.0
