Dia,Temperatura Média,weather_code
2024-01-01,24.93,3.0
2024-01-02,25.99,3.0
2024-01-03,25.9,51.0
2024-01-04,25.27,51.0
2024-01-05,25.12,51.0
2024-01-06,25.42,0.0
2024-01-07,25.86,0.0
2024-01-08,29.02,3.0
2024-01-09,29.88,3.0
2024-01-10,30.2,0.0
2024-01-11,30.09,3.0
2024-01-12,28.73,3.0
2024-01-13,26.08,51.0
2024-01-14,25.79,51.0
2024-01-15,29.3,0.0
2024-01-16,31.02,0.0
2024-01-17,32.09,0.0
2024-01-18,29.69,1.0
2024-01-19,28.21,3.0
2024-01-20,30.16,3.0
2024-01-21,26.54,51.0
2024-01-22,25.38,51.0
2024-01-23,23.24,51.0
2024-01-24,22.1,3.0
2024-01-25,24.36,51.0
2024-01-26,23.8,51.0
2024-01-27,24.93,3.0
2024-01-28,25.17,3.0
2024-01-29,25.78,0.0
2024-01-30,26.78,0.0
2024-01-31,26.8,3.0
2024-02-01,25.85,3.0
2024-02-02,24.94,3.0
2024-02-03,26.03,3.0
2024-02-04,26.92,3.0
2024-02-05,27.07,3.0
2024-02-06,26.82,3.0
2024-02-07,26.75,3.0
2024-02-08,27.21,0.0
2024-02-09,27.43,0.0
2024-02-10,27.85,0.0
2024-02-11,28.88,0.0
2024-02-12,30.74,3.0
2024-02-13,31.08,3.0
2024-02-14,28.15,3.0
2024-02-15,25.29,3.0
2024-02-16,25.41,51.0
2024-02-17,25.71,1.0
2024-02-18,26.32,1.0
2024-02-19,25.94,51.0
2024-02-20,25.78,3.0
2024-02-21,25.61,51.0
2024-02-22,27.4,3.0
2024-02-23,28.33,3.0
2024-02-24,29.27,3.0
2024-02-25,28.11,3.0
2024-02-26,26.75,51.0
2024-02-27,27.53,3.0
2024-02-28,29.26,3.0
2024-02-29,28.31,3.0
2024-03-01,27.0,51.0
2024-03-02,25.48,0.0
2024-03-03,26.01,0.0
2024-03-04,27.12,0.0
2024-03-05,27.91,0.0
2024-03-06,25.82,51.0
2024-03-07,26.15,51.0
2024-03-08,26.37,3.0
2024-03-09,27.84,3.0
2024-03-10,27.65,51.0
2024-03-11,26.04,51.0
2024-03-12,24.88,1.0
2024-03-13,25.55,3.0
2024-03-14,26.28,0.0
2024-03-15,27.69,3.0
2024-03-16,29.67,3.0
2024-03-17,30.54,0.0
2024-03-18,28.74,3.0
2024-03-19,28.43,3.0
2024-03-20,28.93,3.0
2024-03-21,31.11,3.0
2024-03-22,26.18,3.0
2024-03-23,24.45,3.0
2024-03-24,23.71,51.0
2024-03-25,24.91,51.0
2024-03-26,24.48,51.0
2024-03-27,23.81,51.0
2024-03-28,23.85,51.0
2024-03-29,24.95,3.0
2024-03-30,25.4,3.0
2024-03-31,24.44,0.0
2024-04-01,23.88,3.0
2024-04-02,24.95,3.0
2024-04-03,25.51,0.0
2024-04-04,25.32,0.0
2024-04-05,24.81,0.0
2024-04-06,24.72,1.0
2024-04-07,24.51,51.0
2024-04-08,25.75,3.0
2024-04-09,25.98,3.0
2024-04-10,25.8,0.0
2024-04-11,25.67,0.0
2024-04-12,25.0,3.0
2024-04-13,25.67,0.0
