Dia,Temperatura Média,weather_code
2024-01-01,24.925667,3.0
2024-01-02,25.988167,3.0
2024-01-03,25.898582,51.0
2024-01-04,25.2715,51.0
2024-01-05,25.117332,51.0
2024-01-06,25.41525,0.0
2024-01-07,25.856916,0.0
2024-01-08,29.0215,3.0
2024-01-09,29.879835,3.0
2024-01-10,30.194418,0.0
2024-01-11,30.09025,3.0
2024-01-12,28.729834,3.0
2024-01-13,26.084,51.0
2024-01-14,25.79025,51.0
2024-01-15,29.298584,0.0
2024-01-16,31.019417,0.0
2024-01-17,32.09025,0.0
2024-01-18,29.686083,1.0
2024-01-19,28.209,3.0
2024-01-20,30.158998,3.0
2024-01-21,26.538168,51.0
2024-01-22,25.384,51.0
2024-01-23,23.242332,51.0
2024-01-24,22.10275,3.0
2024-01-25,24.359001,51.0
2024-01-26,23.794416,51.0
2024-01-27,24.929832,3.0
2024-01-28,25.167334,3.0
2024-01-29,25.779833,0.0
2024-01-30,26.775667,0.0
2024-01-31,26.798584,3.0
2024-02-01,25.846498,3.0
2024-02-02,24.940248,3.0
2024-02-03,26.025667,3.0
2024-02-04,26.919416,3.0
2024-02-05,27.073584,3.0
2024-02-06,26.823584,3.0
2024-02-07,26.752748,3.0
2024-02-08,27.206917,0.0
2024-02-09,27.42775,0.0
2024-02-10,27.846498,0.0
2024-02-11,28.877748,0.0
2024-02-12,30.738167,3.0
2024-02-13,31.07775,3.0
2024-02-14,28.1465,3.0
2024-02-15,25.286085,3.0
2024-02-16,25.413168,51.0
2024-02-17,25.713167,1.0
2024-02-18,26.315248,1.0
2024-02-19,25.938166,51.0
2024-02-20,25.779833,3.0
2024-02-21,25.611084,51.0
2024-02-22,27.3965,3.0
2024-02-23,28.331917,3.0
2024-02-24,29.267334,3.0
2024-02-25,28.104834,3.0
2024-02-26,26.752748,51.0
2024-02-27,27.531916,3.0
2024-02-28,29.261084,3.0
2024-02-29,28.313166,3.0
2024-03-01,26.994415,51.0
2024-03-02,25.47775,0.0
2024-03-03,26.011084,0.0
2024-03-04,27.117332,0.0
2024-03-05,27.908998,0.0
2024-03-06,25.817335,51.0
2024-03-07,26.148582,51.0
2024-03-08,26.373583,3.0
2024-03-09,27.836082,3.0
2024-03-10,27.650667,51.0
2024-03-11,26.04025,51.0
2024-03-12,24.879835,1.0
2024-03-13,25.548584,3.0
2024-03-14,26.275665,0.0
2024-03-15,27.686083,3.0
2024-03-16,29.66525,3.0
2024-03-17,30.54025,0.0
2024-03-18,28.74025,3.0
2024-03-19,28.425667,3.0
2024-03-20,28.931917,3.0
2024-03-21,31.106916,3.0
2024-03-22,26.179832,3.0
2024-03-23,24.452751,3.0
2024-03-24,23.713167,51.0
2024-03-25,24.904833,51.0
2024-03-26,24.479834,51.0
2024-03-27,23.811083,51.0
2024-03-28,23.85275,51.0
2024-03-29,24.95275,3.0
