id_bairro,chamados_totais
144.0,124
33.0,96
128.0,60
141.0,58
24.0,51
66.0,48
139.0,40
20.0,37
132.0,36
122.0,35
5.0,34
151.0,30
149.0,29
26.0,28
115.0,27
69.0,22
15.0,21
150.0,21
83.0,20
74.0,19
36.0,19
35.0,19
42.0,18
82.0,18
121.0,18
25.0,18
38.0,18
76.0,18
106.0,17
99.0,17
148.0,17
17.0,17
125.0,17
40.0,17
86.0,15
89.0,15
22.0,15
120.0,15
63.0,14
116.0,13
90.0,13
7.0,13
140.0,12
18.0,12
10.0,12
14.0,12
45.0,12
50.0,12
21.0,11
43.0,11
75.0,11
146.0,11
107.0,11
48.0,10
37.0,10
104.0,10
124.0,10
55.0,10
119.0,10
79.0,10
46.0,10
127.0,10
131.0,10
61.0,9
109.0,9
130.0,9
65.0,9
147.0,9
100.0,9
49.0,9
44.0,9
53.0,8
47.0,8
68.0,8
142.0,8
64.0,8
54.0,8
78.0,7
59.0,7
137.0,7
101.0,7
31.0,7
41.0,7
23.0,6
28.0,6
114.0,6
77.0,6
156.0,6
143.0,6
16.0,6
3.0,5
27.0,5
70.0,5
72.0,5
145.0,5
138.0,4
12.0,4
91.0,4
88.0,4
103.0,4
29.0,4
80.0,4
73.0,4
62.0,4
110.0,4
34.0,3
32.0,3
52.0,3
93.0,3
161.0,3
152.0,3
8.0,3
87.0,3
153.0,3
58.0,3
135.0,3
95.0,2
4.0,2
9.0,2
6.0,2
11.0,2
113.0,2
98.0,2
81.0,2
157.0,2
56.0,2
57.0,2
51.0,2
71.0,2
94.0,2
108.0,2
162.0,2
117.0,2
19.0,1
1.0,1
84.0,1
85.0,1
123.0,1
118.0,1
111.0,1
134.0,1
129.0,1
158.0,1
159.0,1
164.0,1
