ano,data_inicial,data_final,evento,taxa_ocupacao
13/09 a 15/09 / 19/09 a 22/09 de 2024,,,Rock in Rio,
29-31/12 e 01/01 (2024-2025),,,Réveillon,
nan,,,nan,
nan,,,nan,
nan,,,nan,
nan,,,nan,
nan,,,nan,
nan,,,nan,
nan,,,nan,
nan,,,nan,
,,,nan,
nan,,,nan,
nan,,,nan,
02/09 a 04/09 de 2022,2022-09-02,2022-09-04,Rock in Rio,0.8184
08/09 a 11/09 de 2022,2022-09-08,2022-09-11,Rock in Rio,0.9451
30-31/12 e 01/01 (2022-2023),2022-12-30,2023-01-01,Réveillon,0.9251
18/02 a 21/02 de 2023,2023-02-18,2023-02-21,Carnaval,0.9554
30-31/12 e 01/01 (2023-2024),2023-12-30,2024-01-01,Réveillon,
10/02 a 14/02/2024,2024-02-10,2024-02-14,Carnaval,
