tipo,data,total_chamados
Perturbação do sossego,2021-01-01,40
Perturbação do sossego,2021-01-02,37
Perturbação do sossego,2021-01-03,65
Perturbação do sossego,2021-01-04,40
Perturbação do sossego,2021-01-05,30
Perturbação do sossego,2021-01-06,42
Perturbação do sossego,2021-01-07,52
Perturbação do sossego,2021-01-08,44
Perturbação do sossego,2021-01-09,64
Perturbação do sossego,2021-01-10,101
Perturbação do sossego,2021-01-11,40
Perturbação do sossego,2021-01-12,25
Perturbação do sossego,2021-01-13,52
Perturbação do sossego,2021-01-14,46
Perturbação do sossego,2021-01-15,73
Perturbação do sossego,2021-01-16,92
Perturbação do sossego,2021-01-17,98
Perturbação do sossego,2021-01-18,33
Perturbação do sossego,2021-01-19,39
Perturbação do sossego,2021-01-20,22
Perturbação do sossego,2021-01-21,61
Perturbação do sossego,2021-01-22,71
Perturbação do sossego,2021-01-23,81
Perturbação do sossego,2021-01-24,100
Perturbação do sossego,2021-01-25,89
Perturbação do sossego,2021-01-26,47
Perturbação do sossego,2021-01-27,36
Perturbação do sossego,2021-01-28,39
Perturbação do sossego,2021-01-29,37
Perturbação do sossego,2021-01-30,82
Perturbação do sossego,2021-01-31,86
Perturbação do sossego,2021-02-01,29
Perturbação do sossego,2021-02-02,34
Perturbação do sossego,2021-02-03,50
Perturbação do sossego,2021-02-04,40
Perturbação do sossego,2021-02-05,70
Perturbação do sossego,2021-02-06,216
Perturbação do sossego,2021-02-07,192
Perturbação do sossego,2021-02-08,64
Perturbação do sossego,2021-02-09,56
Perturbação do sossego,2021-02-10,55
Perturbação do sossego,2021-02-11,66
Perturbação do sossego,2021-02-12,81
Perturbação do sossego,2021-02-13,92
Perturbação do sossego,2021-02-14,136
Perturbação do sossego,2021-02-15,73
Perturbação do sossego,2021-02-16,111
Perturbação do sossego,2021-02-17,67
Perturbação do sossego,2021-02-18,52
Perturbação do sossego,2021-02-19,61
Perturbação do sossego,2021-02-20,91
Perturbação do sossego,2021-02-21,94
Perturbação do sossego,2021-02-22,26
Perturbação do sossego,2021-02-23,37
Perturbação do sossego,2021-02-24,41
Perturbação do sossego,2021-02-25,66
Perturbação do sossego,2021-02-26,75
Perturbação do sossego,2021-02-27,88
Perturbação do sossego,2021-02-28,127
Perturbação do sossego,2021-03-01,67
Perturbação do sossego,2021-03-02,31
Perturbação do sossego,2021-03-03,31
Perturbação do sossego,2021-03-04,32
Perturbação do sossego,2021-03-05,72
Perturbação do sossego,2021-03-06,167
Perturbação do sossego,2021-03-07,218
Perturbação do sossego,2021-03-08,38
Perturbação do sossego,2021-03-09,34
Perturbação do sossego,2021-03-10,54
Perturbação do sossego,2021-03-11,49
Perturbação do sossego,2021-03-12,55
Perturbação do sossego,2021-03-13,70
Perturbação do sossego,2021-03-14,85
Perturbação do sossego,2021-03-15,24
Perturbação do sossego,2021-03-16,41
Perturbação do sossego,2021-03-17,41
Perturbação do sossego,2021-03-18,45
Perturbação do sossego,2021-03-19,50
Perturbação do sossego,2021-03-20,83
Perturbação do sossego,2021-03-21,80
Perturbação do sossego,2021-03-22,39
Perturbação do sossego,2021-03-23,28
Perturbação do sossego,2021-03-24,43
Perturbação do sossego,2021-03-25,57
Perturbação do sossego,2021-03-26,66
Perturbação do sossego,2021-03-27,94
Perturbação do sossego,2021-03-28,83
Perturbação do sossego,2021-03-29,34
Perturbação do sossego,2021-03-30,34
Perturbação do sossego,2021-03-31,44
Perturbação do sossego,2021-04-01,67
Perturbação do sossego,2021-04-02,77
Perturbação do sossego,2021-04-03,91
Perturbação do sossego,2021-04-04,54
Perturbação do sossego,2021-04-05,52
Perturbação do sossego,2021-04-06,41
Perturbação do sossego,2021-04-07,65
Perturbação do sossego,2021-04-08,34
Perturbação do sossego,2021-04-09,94
Perturbação do sossego,2021-04-10,123
Perturbação do sossego,2021-04-11,87
Perturbação do sossego,2021-04-12,39
Perturbação do sossego,2021-04-13,28
Perturbação do sossego,2021-04-14,53
Perturbação do sossego,2021-04-15,56
Perturbação do sossego,2021-04-16,67
Perturbação do sossego,2021-04-17,90
Perturbação do sossego,2021-04-18,80
Perturbação do sossego,2021-04-19,57
Perturbação do sossego,2021-04-20,37
Perturbação do sossego,2021-04-21,72
Perturbação do sossego,2021-04-22,53
Perturbação do sossego,2021-04-23,97
Perturbação do sossego,2021-04-24,120
Perturbação do sossego,2021-04-25,116
Perturbação do sossego,2021-04-26,50
Perturbação do sossego,2021-04-27,44
Perturbação do sossego,2021-04-28,39
Perturbação do sossego,2021-04-29,60
Perturbação do sossego,2021-04-30,102
Perturbação do sossego,2021-05-01,125
Perturbação do sossego,2021-05-02,107
Perturbação do sossego,2021-05-03,79
Perturbação do sossego,2021-05-04,47
Perturbação do sossego,2021-05-05,65
Perturbação do sossego,2021-05-06,62
Perturbação do sossego,2021-05-07,63
Perturbação do sossego,2021-05-08,104
