evento_id,evento,data_inicial,data_final,id_chamado
1,Rock in Rio,2022-09-02,2022-09-04,17658238
1,Rock in Rio,2022-09-02,2022-09-04,17658242
1,Rock in Rio,2022-09-02,2022-09-04,17658243
1,Rock in Rio,2022-09-02,2022-09-04,17658249
1,Rock in Rio,2022-09-02,2022-09-04,17658250
1,Rock in Rio,2022-09-02,2022-09-04,17658251
1,Rock in Rio,2022-09-02,2022-09-04,17658252
1,Rock in Rio,2022-09-02,2022-09-04,17658253
1,Rock in Rio,2022-09-02,2022-09-04,17658254
1,Rock in Rio,2022-09-02,2022-09-04,17658255
1,Rock in Rio,2022-09-02,2022-09-04,17658256
1,Rock in Rio,2022-09-02,2022-09-04,17658257
1,Rock in Rio,2022-09-02,2022-09-04,17658258
1,Rock in Rio,2022-09-02,2022-09-04,17658259
1,Rock in Rio,2022-09-02,2022-09-04,17658260
1,Rock in Rio,2022-09-02,2022-09-04,17658261
1,Rock in Rio,2022-09-02,2022-09-04,17658267
1,Rock in Rio,2022-09-02,2022-09-04,17658268
1,Rock in Rio,2022-09-02,2022-09-04,17658272
1,Rock in Rio,2022-09-02,2022-09-04,17658273
1,Rock in Rio,2022-09-02,2022-09-04,17658280
1,Rock in Rio,2022-09-02,2022-09-04,17658281
1,Rock in Rio,2022-09-02,2022-09-04,17658284
1,Rock in Rio,2022-09-02,2022-09-04,17658291
1,Rock in Rio,2022-09-02,2022-09-04,17658297
1,Rock in Rio,2022-09-02,2022-09-04,17658371
1,Rock in Rio,2022-09-02,2022-09-04,17658374
1,Rock in Rio,2022-09-02,2022-09-04,17658447
1,Rock in Rio,2022-09-02,2022-09-04,17658529
1,Rock in Rio,2022-09-02,2022-09-04,17658711
1,Rock in Rio,2022-09-02,2022-09-04,17658718
1,Rock in Rio,2022-09-02,2022-09-04,17658720
1,Rock in Rio,2022-09-02,2022-09-04,17658725
1,Rock in Rio,2022-09-02,2022-09-04,17658734
1,Rock in Rio,2022-09-02,2022-09-04,17658751
1,Rock in Rio,2022-09-02,2022-09-04,17658755
1,Rock in Rio,2022-09-02,2022-09-04,17658756
1,Rock in Rio,2022-09-02,2022-09-04,17658835
1,Rock in Rio,2022-09-02,2022-09-04,17658841
1,Rock in Rio,2022-09-02,2022-09-04,17658846
1,Rock in Rio,2022-09-02,2022-09-04,17658942
1,Rock in Rio,2022-09-02,2022-09-04,17658949
1,Rock in Rio,2022-09-02,2022-09-04,17659076
1,Rock in Rio,2022-09-02,2022-09-04,17659216
1,Rock in Rio,2022-09-02,2022-09-04,17659240
1,Rock in Rio,2022-09-02,2022-09-04,17659248
1,Rock in Rio,2022-09-02,2022-09-04,17659324
1,Rock in Rio,2022-09-02,2022-09-04,17659426
1,Rock in Rio,2022-09-02,2022-09-04,17659450
1,Rock in Rio,2022-09-02,2022-09-04,17659505
1,Rock in Rio,2022-09-02,2022-09-04,17659517
1,Rock in Rio,2022-09-02,2022-09-04,17659670
1,Rock in Rio,2022-09-02,2022-09-04,17659671
1,Rock in Rio,2022-09-02,2022-09-04,17659765
1,Rock in Rio,2022-09-02,2022-09-04,17659781
1,Rock in Rio,2022-09-02,2022-09-04,17659874
1,Rock in Rio,2022-09-02,2022-09-04,17659904
1,Rock in Rio,2022-09-02,2022-09-04,17660030
1,Rock in Rio,2022-09-02,2022-09-04,17660052
1,Rock in Rio,2022-09-02,2022-09-04,17660292
1,Rock in Rio,2022-09-02,2022-09-04,17660721
1,Rock in Rio,2022-09-02,2022-09-04,17660794
1,Rock in Rio,2022-09-02,2022-09-04,17660930
1,Rock in Rio,2022-09-02,2022-09-04,17661025
1,Rock in Rio,2022-09-02,2022-09-04,17661050
1,Rock in Rio,2022-09-02,2022-09-04,17661201
1,Rock in Rio,2022-09-02,2022-09-04,17661204
1,Rock in Rio,2022-09-02,2022-09-04,17661222
1,Rock in Rio,2022-09-02,2022-09-04,17661257
1,Rock in Rio,2022-09-02,2022-09-04,17661303
1,Rock in Rio,2022-09-02,2022-09-04,17661310
1,Rock in Rio,2022-09-02,2022-09-04,17661335
1,Rock in Rio,2022-09-02,2022-09-04,17661375
1,Rock in Rio,2022-09-02,2022-09-04,17661383
1,Rock in Rio,2022-09-02,2022-09-04,17661407
1,Rock in Rio,2022-09-02,2022-09-04,17661436
1,Rock in Rio,2022-09-02,2022-09-04,17661458
1,Rock in Rio,2022-09-02,2022-09-04,17661509
1,Rock in Rio,2022-09-02,2022-09-04,17661535
1,Rock in Rio,2022-09-02,2022-09-04,17661560
1,Rock in Rio,2022-09-02,2022-09-04,17661569
1,Rock in Rio,2022-09-02,2022-09-04,17661581
1,Rock in Rio,2022-09-02,2022-09-04,17661604
1,Rock in Rio,2022-09-02,2022-09-04,17661605
1,Rock in Rio,2022-09-02,2022-09-04,17661610
1,Rock in Rio,2022-09-02,2022-09-04,17661629
1,Rock in Rio,2022-09-02,2022-09-04,17661639
1,Rock in Rio,2022-09-02,2022-09-04,17661642
1,Rock in Rio,2022-09-02,2022-09-04,17661644
1,Rock in Rio,2022-09-02,2022-09-04,17661662
1,Rock in Rio,2022-09-02,2022-09-04,17661669
1,Rock in Rio,2022-09-02,2022-09-04,17661670
1,Rock in Rio,2022-09-02,2022-09-04,17661683
1,Rock in Rio,2022-09-02,2022-09-04,17661685
1,Rock in Rio,2022-09-02,2022-09-04,17661687
1,Rock in Rio,2022-09-02,2022-09-04,17661695
1,Rock in Rio,2022-09-02,2022-09-04,17661698
1,Rock in Rio,2022-09-02,2022-09-04,17661702
1,Rock in Rio,2022-09-02,2022-09-04,17661706
1,Rock in Rio,2022-09-02,2022-09-04,17661710
1,Rock in Rio,2022-09-02,2022-09-04,17661712
1,Rock in Rio,2022-09-02,2022-09-04,17661720
1,Rock in Rio,2022-09-02,2022-09-04,17661721
1,Rock in Rio,2022-09-02,2022-09-04,17661726
1,Rock in Rio,2022-09-02,2022-09-04,17661728
1,Rock in Rio,2022-09-02,2022-09-04,17661729
1,Rock in Rio,2022-09-02,2022-09-04,17661731
1,Rock in Rio,2022-09-02,2022-09-04,17661732
1,Rock in Rio,2022-09-02,2022-09-04,17661738
1,Rock in Rio,2022-09-02,2022-09-04,17661740
1,Rock in Rio,2022-09-02,2022-09-04,17661742
1,Rock in Rio,2022-09-02,2022-09-04,17661746
1,Rock in Rio,2022-09-02,2022-09-04,17661754
1,Rock in Rio,2022-09-02,2022-09-04,17661757
1,Rock in Rio,2022-09-02,2022-09-04,17661764
1,Rock in Rio,2022-09-02,2022-09-04,17661765
1,Rock in Rio,2022-09-02,2022-09-04,17661771
1,Rock in Rio,2022-09-02,2022-09-04,17661772
1,Rock in Rio,2022-09-02,2022-09-04,17661778
1,Rock in Rio,2022-09-02,2022-09-04,17661785
1,Rock in Rio,2022-09-02,2022-09-04,17661786
1,Rock in Rio,2022-09-02,2022-09-04,17661789
