evento_id,evento,data_inicial,data_final,data_chamado,total_chamados
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-02,106
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-03,126
1,Rock in Rio,2022-09-02,2022-09-04,2022-09-04,164
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-08,91
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-09,142
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-10,137
2,Rock in Rio,2022-09-08,2022-09-11,2022-09-11,180
3,Réveillon,2022-12-30,2023-01-01,2022-12-30,51
3,Réveillon,2022-12-30,2023-01-01,2022-12-31,37
3,Réveillon,2022-12-30,2023-01-01,2023-01-01,59
4,Carnaval,2023-02-18,2023-02-21,2023-02-18,77
4,Carnaval,2023-02-18,2023-02-21,2023-02-19,91
4,Carnaval,2023-02-18,2023-02-21,2023-02-20,38
4,Carnaval,2023-02-18,2023-02-21,2023-02-21,46
5,Réveillon,2023-12-30,2024-01-01,,0
6,Carnaval,2024-02-10,2024-02-14,,0
7,Rock in Rio,2024-09-13,2024-09-15,,0
8,Rock in Rio,2024-09-19,2024-09-22,,0
9,Réveillon,2024-12-29,2025-01-01,2024-12-29,72
9,Réveillon,2024-12-29,2025-01-01,2024-12-30,34
9,Réveillon,2024-12-29,2025-01-01,2024-12-31,27
9,Réveillon,2024-12-29,2025-01-01,2025-01-01,45
