subtipo,data,total_chamados
Perturbação do sossego,2013-07-13,1
Perturbação do sossego,2013-08-09,1
Perturbação do sossego,2013-08-23,1
Perturbação do sossego,2013-09-22,1
Perturbação do sossego,2013-10-02,1
Perturbação do sossego,2013-10-10,1
Perturbação do sossego,2013-12-12,1
Perturbação do sossego,2014-02-10,1
Perturbação do sossego,2014-02-23,1
Perturbação do sossego,2015-07-23,1
Perturbação do sossego,2015-08-24,1
Perturbação do sossego,2015-12-29,1
Perturbação do sossego,2016-02-26,1
Perturbação do sossego,2016-04-30,1
Perturbação do sossego,2016-07-28,1
Perturbação do sossego,2016-10-20,1
Perturbação do sossego,2016-11-09,1
Perturbação do sossego,2016-12-06,1
Perturbação do sossego,2017-01-25,1
Perturbação do sossego,2017-02-02,1
Perturbação do sossego,2017-04-03,1
Perturbação do sossego,2017-04-04,1
Perturbação do sossego,2017-04-10,1
Perturbação do sossego,2017-04-18,2
Perturbação do sossego,2017-05-05,1
Perturbação do sossego,2017-05-21,1
Perturbação do sossego,2017-06-03,1
Perturbação do sossego,2017-06-14,1
Perturbação do sossego,2017-06-15,1
Perturbação do sossego,2017-07-03,2
Perturbação do sossego,2017-08-02,1
Perturbação do sossego,2017-08-07,1
Perturbação do sossego,2017-08-16,1
Perturbação do sossego,2017-08-22,1
Perturbação do sossego,2017-08-25,1
Perturbação do sossego,2017-08-26,3
Perturbação do sossego,2017-08-28,1
Perturbação do sossego,2017-08-29,1
Perturbação do sossego,2017-08-30,1
Perturbação do sossego,2017-09-03,1
Perturbação do sossego,2017-09-04,1
Perturbação do sossego,2017-09-09,1
Perturbação do sossego,2017-09-15,1
Perturbação do sossego,2017-09-21,1
Perturbação do sossego,2017-10-14,1
Perturbação do sossego,2017-10-21,1
Perturbação do sossego,2017-10-27,1
Perturbação do sossego,2017-10-30,1
Perturbação do sossego,2017-11-04,1
Perturbação do sossego,2017-11-10,1
Perturbação do sossego,2017-11-23,1
Perturbação do sossego,2017-11-26,1
Perturbação do sossego,2017-12-05,1
Perturbação do sossego,2017-12-09,1
Perturbação do sossego,2017-12-17,1
Perturbação do sossego,2017-12-18,1
Perturbação do sossego,2018-01-03,1
Perturbação do sossego,2018-01-08,1
Perturbação do sossego,2018-01-13,1
Perturbação do sossego,2018-01-17,1
Perturbação do sossego,2018-01-18,1
Perturbação do sossego,2018-01-22,1
Perturbação do sossego,2018-02-10,1
Perturbação do sossego,2018-02-24,1
Perturbação do sossego,2018-02-26,1
Perturbação do sossego,2018-03-11,2
Perturbação do sossego,2018-03-25,1
Perturbação do sossego,2018-04-07,1
Perturbação do sossego,2018-04-24,1
Perturbação do sossego,2018-05-04,1
Perturbação do sossego,2018-05-11,1
Perturbação do sossego,2018-05-20,1
Perturbação do sossego,2018-05-23,1
Perturbação do sossego,2018-05-30,1
Perturbação do sossego,2018-06-10,1
Perturbação do sossego,2018-06-12,2
Perturbação do sossego,2018-06-13,1
Perturbação do sossego,2018-06-20,1
Perturbação do sossego,2018-06-25,1
Perturbação do sossego,2018-07-14,1
Perturbação do sossego,2018-07-16,1
Perturbação do sossego,2018-07-28,1
Perturbação do sossego,2018-07-30,1
Perturbação do sossego,2018-07-31,1
Perturbação do sossego,2018-08-01,1
Perturbação do sossego,2018-08-03,1
Perturbação do sossego,2018-08-11,1
Perturbação do sossego,2018-09-03,1
Perturbação do sossego,2018-09-06,1
Perturbação do sossego,2018-09-20,1
Perturbação do sossego,2018-09-21,1
Perturbação do sossego,2018-09-28,1
Perturbação do sossego,2018-09-29,1
Perturbação do sossego,2018-10-03,1
